chu,pinyin,pinyin_go,thanh,han_viet,nghia,nghia_khac,bo_thu,nhieu,chu_de,cap,vi_du,vi_du_nghia,dong_nghia,trai_nghia,so_net,ngu_hanh,thang_goc,thang_bac,tan_suat
休,xiū,xiu,1,hưu,nghỉ,nghỉ ngơi,人|木,体|伙|们|保,nguoi,2,他在休息。,Anh ấy đang nghỉ.,,,,,,,
安,ān,an,1,an,yên,bình yên|an toàn,宀|女,字|完|宁|家,nguoi,2,这里很安静。,Ở đây rất yên tĩnh.,,,,,,,
家,jiā,jia,1,gia,nhà,gia đình|nhà,宀|豕,安|字|完|宁,nguoi,2,我的家很小。,Nhà tôi rất nhỏ.,房,,,,,,
早,zǎo,zao,3,tảo,sớm,buổi sáng|sớm,日|十,草|旱|昌|早,thoigian,2,他来得很早。,Anh ấy đến rất sớm.,,晚,,,,,
一,yī,yi,1,nhất,một,,,二|三|十|七,so,1,我有一个哥哥。,Tôi có một anh trai.,,,1,,,,1
二,èr,er,4,nhị,hai,,,一|三|十|工,so,1,二月很冷。,Tháng hai rất lạnh.,,,2,,,,1
三,sān,san,1,tam,ba,,,二|一|王|干,so,1,我有三本书。,Tôi có ba quyển sách.,,,3,,,,1
四,sì,si,4,tứ,bốn,,,匹|西|回|皿,so,1,四月下雨。,Tháng tư mưa.,,,5,,,,1
五,wǔ,wu,3,ngũ,năm,,,王|正|丑|互,so,1,我五岁了。,Tôi năm tuổi rồi.,,,4,,,,1
六,liù,liu,4,lục,sáu,,,大|穴|方|亢,so,1,六点上课。,Sáu giờ vào học.,,,4,,,,1
七,qī,qi,1,thất,bảy,,,匕|十|切|比,so,1,一星期有七天。,Một tuần có bảy ngày.,,,2,,,,1
八,bā,ba,1,bát,tám,,,人|入|六|儿,so,1,八月很热。,Tháng tám rất nóng.,,,2,,,,1
九,jiǔ,jiu,3,cửu,chín,,,丸|力|几|久,so,1,九点睡觉。,Chín giờ đi ngủ.,,,2,,,,1
十,shí,shi,2,thập,mười,,,一|干|土|士,so,1,我有十块钱。,Tôi có mười đồng.,,,2,,,,1
百,bǎi,bai,3,bách,trăm,một trăm,一|白,白|自|首|石,so,2,一百个人。,Một trăm người.,,,,,,,
千,qiān,qian,1,thiên,nghìn,một nghìn,,干|午|升|壬,so,2,一千块钱。,Một nghìn đồng.,,,,,,,
年,nián,nian,2,niên,năm,năm tháng,,牛|午|生|失,thoigian,1,今年很忙。,Năm nay rất bận.,,,6,,,,1
今,jīn,jin,1,kim,nay,hiện nay|bây giờ,,令|全|念|含,thoigian,2,今天很热。,Hôm nay rất nóng.,,,,,,,
夜,yè,ye,4,dạ,đêm,ban đêm,,液|亦|夕|多,thoigian,2,夜里很静。,Ban đêm rất yên tĩnh.,,,,,,,
晚,wǎn,wan,3,vãn,muộn,buổi tối|tối,日|免,睌|挽|勉|冕,thoigian,2,他回来很晚。,Anh ấy về rất muộn.,,早,,,,,
午,wǔ,wu,3,ngọ,trưa,buổi trưa,,牛|干|升|中,thoigian,2,中午吃饭。,Buổi trưa ăn cơm.,,,,,,,
时,shí,shi,2,thời,giờ,thời gian|lúc,日|寸,财|付|讨|对,thoigian,2,时间很快。,Thời gian rất nhanh.,,,,,,,1
分,fēn,fen,1,phân,phút,chia|phần,八|刀,今|介|公|兮,thoigian,2,五分钟到了。,Năm phút nữa là tới.,,,,,,,
周,zhōu,zhou,1,chu,tuần,tuần lễ,,用|同|冈|舟,thoigian,3,这周很忙。,Tuần này rất bận.,,,,,,,
红,hóng,hong,2,hồng,đỏ,màu đỏ,纟|工,虹|江|细|纪,mau,1,花是红的。,Hoa màu đỏ.,,,6,火,,,2
黑,hēi,hei,1,hắc,đen,màu đen,,墨|里|点|默,mau,1,夜里很黑。,Ban đêm rất tối.,,白,,,,,
绿,lǜ,lv,4,lục,xanh lá,màu xanh lá,纟|录,缘|录|绍|统,mau,1,山是绿的。,Núi màu xanh.,,,,,,,
蓝,lán,lan,2,lam,xanh dương,màu xanh nước biển,艹|监,篮|监|蕉|盐,mau,1,天是蓝的。,Trời màu xanh.,,,,,,,
黄,huáng,huang,2,hoàng,vàng,màu vàng,,横|广|莫|共,mau,2,树叶黄了。,Lá cây vàng rồi.,,,,土,,,
色,sè,se,4,sắc,màu,màu sắc,,包|危|免|角,mau,2,这个颜色很美。,Màu này rất đẹp.,,,,,,,
米,mǐ,mi,3,mễ,gạo,thóc|gạo,,木|禾|来|未,an,1,我吃米饭。,Tôi ăn cơm.,,,,木,,,2
饭,fàn,fan,4,phạn,cơm,bữa cơm,饣|反,饮|饱|板|返,an,1,他在吃饭。,Anh ấy đang ăn cơm.,,,,,,,
菜,cài,cai,4,thái,rau,món ăn|thức ăn,艹|采,采|彩|莱|茶,an,1,这个菜很好吃。,Món này rất ngon.,,,,木,,,
肉,ròu,rou,4,nhục,thịt,miếng thịt,,内|周|同|冈,an,1,我不吃肉。,Tôi không ăn thịt.,,,,,,,
鱼,yú,yu,2,ngư,cá,con cá,,渔|鲁|角|免,an,1,鱼在水里。,Cá ở trong nước.,,,,水,,,2
茶,chá,cha,2,trà,trà,chè,艹|余,荼|余|苦|苔,an,1,我喝茶。,Tôi uống trà.,,,,木,,,2
果,guǒ,guo,3,quả,quả,trái cây|hoa quả,,里|东|棵|裸,an,1,我爱吃水果。,Tôi thích ăn hoa quả.,,,,木,,,
吃,chī,chi,1,ngật,ăn,,口|乞,叱|吹|气|乞,an,1,他吃苹果。,Anh ấy ăn táo.,,,,,,,
喝,hē,he,1,hát,uống,,口|曷,渴|喉|唱|谒,an,1,他在喝茶。,Anh ấy đang uống trà.,,,,,,,
甜,tián,tian,2,điềm,ngọt,vị ngọt,舌|甘,甘|舌|括|恬,an,2,水果很甜。,Hoa quả rất ngọt.,,,,,,,
书,shū,shu,1,thư,sách,quyển sách,,专|东|车|丰,hoc,1,这是我的书。,Đây là sách của tôi.,,,,木,,,2
学,xué,xue,2,học,học,học tập,,字|觉|党|常,hoc,1,我在学中文。,Tôi đang học tiếng Trung.,,,,,,,
字,zì,zi,4,tự,chữ,chữ viết,宀|子,学|宇|守|安,hoc,1,这个字很难。,Chữ này rất khó.,,,,,,,
文,wén,wen,2,văn,văn,chữ viết|văn tự,,交|父|支|亡,hoc,2,中文很美。,Tiếng Trung rất đẹp.,,,,,,,
老,lǎo,lao,3,lão,già,cũ|lớn tuổi,,考|孝|者|耂,hoc,2,老师很好。,Thầy giáo rất tốt.,旧,,,,,,
师,shī,shi,1,sư,thầy,thầy giáo|sư phụ,,帅|归|叫|币,hoc,2,他是老师。,Anh ấy là thầy giáo.,,,,,,,
问,wèn,wen,4,vấn,hỏi,câu hỏi,门|口,间|闻|们|闪,hoc,2,我问老师。,Tôi hỏi thầy giáo.,,,,,,,
答,dá,da,2,đáp,trả lời,đáp lại,竹|合,合|塔|笛|荅,hoc,3,他答对了。,Anh ấy trả lời đúng.,,,,,,,
读,dú,du,2,độc,đọc,đọc sách,讠|卖,续|卖|谈|渎,hoc,2,我读书。,Tôi đọc sách.,,,,,,,
写,xiě,xie,3,tả,viết,viết chữ,,与|号|军|冠,hoc,2,他写字。,Anh ấy viết chữ.,,,,,,,
马,mǎ,ma,3,mã,ngựa,con ngựa,,鸟|与|冯|驾,thu,1,马跑得很快。,Ngựa chạy rất nhanh.,,,,,,,
鸟,niǎo,niao,3,điểu,chim,con chim,,乌|鸡|鸣|岛,thu,1,鸟在树上。,Chim ở trên cây.,,,,,,,
狗,gǒu,gou,3,cẩu,chó,con chó,犭|句,狼|狐|苟|驹,thu,1,狗很可爱。,Chó rất đáng yêu.,,,,,,,
猫,māo,mao,1,miêu,mèo,con mèo,犭|苗,猪|狐|描|苗,thu,1,猫在睡觉。,Mèo đang ngủ.,,,,,,,
虫,chóng,chong,2,trùng,sâu,côn trùng|sâu bọ,,虹|蚊|电|申,thu,2,草里有虫。,Trong cỏ có sâu.,,,,,,,
鸡,jī,ji,1,kê,gà,con gà,又|鸟,鸭|鹅|乌|双,thu,1,鸡在吃米。,Gà đang ăn gạo.,,,,,,,
虎,hǔ,hu,3,hổ,hổ,con hổ|cọp,,虚|号|虐|处,thu,2,山里有虎。,Trong núi có hổ.,,,,,,,
象,xiàng,xiang,4,tượng,voi,con voi,,像|豫|豕|豪,thu,2,象很大。,Voi rất to.,,,,,,,
左,zuǒ,zuo,3,tả,trái,bên trái,,右|在|友|存,phuong,1,他在我左边。,Anh ấy ở bên trái tôi.,,右,,,,,
右,yòu,you,4,hữu,phải,bên phải,,左|石|有|友,phuong,1,右边有门。,Bên phải có cửa.,,左,,,,,
前,qián,qian,2,tiền,trước,phía trước,,刖|荆|剪|歬,phuong,2,前面有山。,Phía trước có núi.,,后,,,,,
后,hòu,hou,4,hậu,sau,phía sau,,司|石|右|厚,phuong,2,他在后面。,Anh ấy ở phía sau.,,前,,,,,
里,lǐ,li,3,lý,trong,bên trong,,理|野|重|埋,phuong,1,他在家里。,Anh ấy ở trong nhà.,内,外,,,,,
外,wài,wai,4,ngoại,ngoài,bên ngoài,夕|卜,处|夘|多|列,phuong,2,他在外面。,Anh ấy ở bên ngoài.,,里|内,,,,,
看,kàn,kan,4,khán,nhìn,xem|coi,手|目,着|眉|睡|春,dongtu,1,我看书。,Tôi đọc sách.,,,,,,,
听,tīng,ting,1,thính,nghe,,口|斤,近|所|斩|昕,dongtu,1,我听音乐。,Tôi nghe nhạc.,,,,,,,
说,shuō,shuo,1,thuyết,nói,nói chuyện,讠|兑,话|设|税|悦,dongtu,1,他说中文。,Anh ấy nói tiếng Trung.,,,,,,,1
走,zǒu,zou,3,tẩu,đi,đi bộ|rời đi,,起|赶|徒|赴,dongtu,1,他走得很慢。,Anh ấy đi rất chậm.,去,,,,,,
跑,pǎo,pao,3,bào,chạy,chạy bộ,足|包,跳|抱|炮|泡,dongtu,1,孩子在跑。,Đứa trẻ đang chạy.,,,,,,,
来,lái,lai,2,lai,đến,tới,,未|末|米|束,dongtu,1,他来了。,Anh ấy đến rồi.,,去,,,,,1
去,qù,qu,4,khứ,đi,rời đi,,云|丢|法|吉,dongtu,1,我去学校。,Tôi đến trường.,走,来,,,,,1
买,mǎi,mai,3,mãi,mua,,,卖|头|实|亦,dongtu,2,我去买菜。,Tôi đi mua rau.,,,,,,,
爸,bà,ba,4,ba,bố,,,弟|奶|朋|妹,gia_dinh,2,爸爸在家。,Bố ở nhà.,,,,,,,
妈,mā,ma,1,ma,mẹ,,,朋|姐|爷|奶,gia_dinh,2,妈妈很忙。,Mẹ rất bận.,,,,,,,
哥,gē,ge,1,ca,anh trai,,,姐|爷|朋|友,gia_dinh,2,哥哥很高。,Anh trai rất cao.,,,,,,,
姐,jiě,jie,3,tỷ,chị gái,,,友|朋|爷|哥,gia_dinh,2,姐姐很漂亮。,Chị gái rất xinh đẹp.,,,,,,,
弟,dì,di,4,đệ,em trai,,,妹|哥|妈|朋,gia_dinh,2,弟弟在睡觉。,Em trai đang ngủ.,,,,,,,
妹,mèi,mei,4,muội,em gái,,,哥|奶|妈|朋,gia_dinh,2,妹妹很可爱。,Em gái rất đáng yêu.,,,,,,,
爷,yé,ye,2,gia,ông nội,,,妈|爸|姐|哥,gia_dinh,2,爷爷很和蔼。,Ông nội rất hiền từ.,,,,,,,
奶,nǎi,nai,3,nãi,bà nội,,,爷|弟|姐|朋,gia_dinh,2,奶奶做饭。,Bà nội nấu cơm.,,,,,,,
朋,péng,peng,2,bằng,bạn bè,,,爸|奶|友|妈,gia_dinh,2,朋友很多。,Có rất nhiều bạn bè.,,,,,,,
友,yǒu,you,3,hữu,bạn,,,朋|奶|哥|妈,gia_dinh,2,友谊很珍贵。,Tình bạn rất quý giá.,,,,,,,
眼,yǎn,yan,3,nhãn,mắt,,,耳|腿|脚|鼻,than_the,2,眼睛很大。,Đôi mắt rất to.,,,,,,,
耳,ěr,er,3,nhĩ,tai,,,牙|脚|鼻|身,than_the,2,耳朵很灵。,Đôi tai rất thính.,,,,,,,
鼻,bí,bi,2,tị,mũi,,,眼|腿|嘴|牙,than_the,2,鼻子很高。,Cái mũi rất cao.,,,,,,,
嘴,zuǐ,zui,3,chủy,miệng,,,眼|脚|脸|发,than_the,2,嘴巴很小。,Cái miệng rất nhỏ.,,,,,,,
脸,liǎn,lian,3,kiểm,khuôn mặt,,,身|鼻|眼|嘴,than_the,2,脸很红。,Khuôn mặt rất đỏ.,,,,,,,
牙,yá,ya,2,nha,răng,,,脸|身|腿|眼,than_the,2,牙很白。,Răng rất trắng.,,,,,,,
脚,jiǎo,jiao,3,cước,bàn chân,,,腿|耳|嘴|鼻,than_the,2,脚很痛。,Bàn chân rất đau.,,,,,,,
腿,tuǐ,tui,3,thối,chân (đùi),,,身|牙|鼻|眼,than_the,2,腿很长。,Chân rất dài.,,,,,,,
身,shēn,shen,1,thân,thân thể,,,脚|嘴|牙|耳,than_the,2,身体很好。,Cơ thể rất khỏe.,,,,,,,
发,fà,fa,4,phát,tóc,,,牙|耳|脚|腿,than_the,2,头发很长。,Tóc rất dài.,,,,,,,
你,nǐ,ni,3,nhĩ,bạn,,,休|小|人|好,nguoi,2,你是谁？,Bạn là ai?,,,,,,,1
我,wǒ,wo,3,ngã,tôi,,,心|口|子|小,nguoi,2,我是学生。,Tôi là học sinh.,,,,,,,1
他,tā,ta,1,tha,anh ấy,,,家|手|人|名,nguoi,2,他很高兴。,Anh ấy rất vui.,,,,,,,1
她,tā,ta,1,tha,cô ấy,,,子|男|休|好,nguoi,2,她很漂亮。,Cô ấy rất xinh đẹp.,,,,,,,
名,míng,ming,2,danh,tên,,,手|我|男|好,nguoi,2,你叫什么名字？,Bạn tên gì?,,,,,,,
王,wáng,wang,2,vương,vua,,,好|心|你|他,nguoi,2,他是国王。,Anh ấy là vua.,,,,,,,
民,mín,min,2,dân,người dân,,,小|他|力|安,nguoi,2,人民很勤劳。,Người dân rất chăm chỉ.,,,,,,,
高,gāo,gao,1,cao,cao,,,短|累|冷|新,tinh_tu,2,他很高。,Anh ấy rất cao.,,,,,,,
短,duǎn,duan,3,đoản,ngắn,,,远|快|旧|累,tinh_tu,2,头发很短。,Tóc rất ngắn.,,,,,,,
新,xīn,xin,1,tân,mới,,,贵|忙|近|高,tinh_tu,2,这是新的。,Cái này là mới.,,旧,,,,,
旧,jiù,jiu,4,cựu,cũ,,,瘦|多|高|少,tinh_tu,2,这是旧的。,Cái này là cũ.,老,新,,,,,
快,kuài,kuai,4,khoái,nhanh,,,旧|热|远|多,tinh_tu,2,跑得很快。,Chạy rất nhanh.,,慢,,,,,
慢,màn,man,4,mạn,chậm,,,冷|近|远|旧,tinh_tu,2,走得很慢。,Đi rất chậm.,,快,,,,,
多,duō,duo,1,đa,nhiều,,,冷|新|累|热,tinh_tu,2,很多人。,Rất nhiều người.,,少,,,,,1
少,shǎo,shao,3,thiểu,ít,,,贵|远|冷|热,tinh_tu,2,很少人。,Rất ít người.,,多,,,,,1
冷,lěng,leng,3,lãnh,lạnh,,,近|忙|多|新,tinh_tu,2,天气很冷。,Thời tiết rất lạnh.,,热,,水,,,2
热,rè,re,4,nhiệt,nóng,,,快|旧|贵|远,tinh_tu,2,天气很热。,Thời tiết rất nóng.,,冷,,火,,,2
远,yuǎn,yuan,3,viễn,xa,,,近|瘦|高|新,tinh_tu,2,学校很远。,Trường học rất xa.,,近,,,,,
近,jìn,jin,4,cận,gần,,,短|少|热|快,tinh_tu,2,家很近。,Nhà rất gần.,,远,,,,,
贵,guì,gui,4,quý,đắt tiền,,,高|胖|少|瘦,tinh_tu,2,这个很贵。,Cái này rất đắt.,,,,,,,
忙,máng,mang,2,mang,bận rộn,,,瘦|远|新|短,tinh_tu,2,我很忙。,Tôi rất bận.,,,,,,,
累,lèi,lei,4,luy,mệt,,,旧|贵|高|近,tinh_tu,2,我很累。,Tôi rất mệt.,,,,,,,
胖,pàng,pang,4,bàn,mập,,,新|累|远|快,tinh_tu,2,他很胖。,Anh ấy rất béo.,,瘦,,,,,
瘦,shòu,shou,4,sấu,gầy,,,冷|热|慢|累,tinh_tu,2,他很瘦。,Anh ấy rất gầy.,,胖,,,,,
风,fēng,feng,1,phong,gió,,,云|湖|雪|电,thien_nhien,1,风很大。,Gió rất to.,,,,,,,
云,yún,yun,2,vân,mây,,,风|湖|电|雪,thien_nhien,1,天上有云。,Trên trời có mây.,,,,水,,,
雪,xuě,xue,3,tuyết,tuyết,,,风|河|冰|湖,thien_nhien,1,下雪了。,Tuyết rơi rồi.,,,,水,,,
电,diàn,dian,4,điện,điện,,,河|冰|风|海,thien_nhien,1,没有电了。,Hết điện rồi.,,,,,,,
海,hǎi,hai,3,hải,biển,,,冰|风|电|河,thien_nhien,1,大海很蓝。,Biển cả rất xanh.,,,,水,,,
河,hé,he,2,hà,sông,,,海|风|雪|电,thien_nhien,1,河水很清。,Nước sông rất trong.,,,,水,,,
湖,hú,hu,2,hồ,hồ,,,海|雪|冰|电,thien_nhien,1,湖水很静。,Nước hồ rất tĩnh lặng.,,,,水,,,
冰,bīng,bing,1,băng,băng,,,雪|云|湖|风,thien_nhien,1,冰很凉。,Băng rất lạnh.,,,6,水,,,3
门,mén,men,2,môn,cửa,,,椅|桌|桥|车,do_vat,3,关上门。,Đóng cửa lại.,,,,木,,,2
窗,chuāng,chuang,1,song,cửa sổ,,,椅|门|车|桌,do_vat,3,打开窗户。,Mở cửa sổ ra.,,,,,,,
桌,zhuō,zhuo,1,trác,cái bàn,,,车|窗|房|椅,do_vat,3,桌子很大。,Cái bàn rất to.,,,,木,,,
椅,yǐ,yi,3,ỷ,cái ghế,,,房|床|路|门,do_vat,3,椅子很舒服。,Cái ghế rất thoải mái.,,,,木,,,
床,chuáng,chuang,2,sàng,giường,,,车|桌|灯|门,do_vat,3,床很软。,Cái giường rất mềm.,,,,木,,,
灯,dēng,deng,1,đăng,đèn,,,门|床|窗|路,do_vat,3,灯很亮。,Đèn rất sáng.,,,,火,,,
车,chē,che,1,xa,xe,,,桌|路|桥|灯,do_vat,3,车开得很快。,Xe chạy rất nhanh.,,,,金,,,2
路,lù,lu,4,lộ,con đường,,,椅|桌|灯|床,do_vat,3,路很长。,Con đường rất dài.,,,,,,,
桥,qiáo,qiao,2,kiều,cây cầu,,,床|路|车|窗,do_vat,3,桥很高。,Cây cầu rất cao.,,,,,,,
房,fáng,fang,2,phòng,nhà / phòng,,,路|桥|椅|窗,do_vat,3,房子很大。,Ngôi nhà rất to.,家,,,,,,
坐,zuò,zuo,4,tọa,ngồi,,,开|爱|说|笑,dongtu,3,坐下吧。,Ngồi xuống đi.,,,,,,,
开,kāi,kai,1,khai,mở,,,找|做|跑|放,dongtu,3,开门了。,Cửa đã mở.,,关,,,,,
关,guān,guan,1,quan,đóng,,,看|爱|哭|做,dongtu,3,关上灯。,Tắt đèn đi.,,开,,,,,
爱,ài,ai,4,ái,yêu,,,做|给|开|听,dongtu,3,我爱你。,Anh yêu em.,,,,,,,
想,xiǎng,xiang,3,tưởng,muốn / nhớ,,,给|坐|去|说,dongtu,3,我想你。,Tôi nhớ bạn.,,,,,,,
做,zuò,zuo,4,tố,làm,,,给|开|走|关,dongtu,3,做作业。,Làm bài tập.,,,,,,,
用,yòng,yong,4,dụng,dùng,,,关|看|走|哭,dongtu,3,用手机。,Dùng điện thoại.,,,,,,,
给,gěi,gei,3,cấp,cho,,,哭|来|想|去,dongtu,3,给我水。,Đưa nước cho tôi.,,,,,,,
找,zhǎo,zhao,3,trảo,tìm,,,爱|哭|走|放,dongtu,3,找不到了。,Không tìm thấy nữa.,,,,,,,
放,fàng,fang,4,phóng,đặt / thả,,,爱|坐|走|说,dongtu,3,放在桌子上。,Đặt lên trên bàn.,,,,,,,
笑,xiào,xiao,4,tiếu,cười,,,想|坐|关|走,dongtu,3,他在笑。,Anh ấy đang cười.,,哭,,,,,
哭,kū,ku,1,khốc,khóc,,,找|买|放|来,dongtu,3,她在哭。,Cô ấy đang khóc.,,笑,,,,,
蛋,dàn,dan,4,đản,trứng,,,汤|菜|饭|茶,an,2,一个鸡蛋。,Một quả trứng gà.,,,,,,,
糖,táng,tang,2,đường,kẹo / đường,,,茶|果|菜|汤,an,2,糖很甜。,Kẹo rất ngọt.,,,,,,,
盐,yán,yan,2,diêm,muối,,,鱼|苦|汤|米,an,2,加点盐。,Cho thêm chút muối.,,,,,,,
汤,tāng,tang,1,thang,canh,,,肉|饭|酸|盐,an,2,汤很热。,Canh rất nóng.,,,,水,,,
苦,kǔ,ku,3,khổ,đắng,,,菜|饭|酸|甜,an,2,药很苦。,Thuốc rất đắng.,,,,,,,
酸,suān,suan,1,toan,chua,,,蛋|果|汤|喝,an,2,醋很酸。,Giấm rất chua.,,,,,,,
辣,là,la,4,lạt,cay,,,米|果|蛋|苦,an,2,辣椒很辣。,Ớt rất cay.,,,,,,,
语,yǔ,yu,3,ngữ,ngôn ngữ,,,笔|师|课|书,hoc,3,汉语很难。,Tiếng Hán rất khó.,,,,,,,
词,cí,ci,2,từ,từ vựng,,,写|班|书|文,hoc,3,学一个词。,Học một từ mới.,,,,,,,
句,jù,ju,4,cú,câu,,,文|纸|读|写,hoc,3,说一句话。,Nói một câu.,,,,,,,
课,kè,ke,4,khóa,bài học,,,读|校|老|教,hoc,3,上课了。,Vào tiết học rồi.,,,,,,,
笔,bǐ,bi,3,bút,cây bút,,,课|写|老|纸,hoc,3,一支笔。,Một cây bút.,,,,木,,,
纸,zhǐ,zhi,3,chỉ,giấy,,,学|句|笔|校,hoc,3,一张纸。,Một tờ giấy.,,,,木,,,
校,xiào,xiao,4,hiệu,trường học,,,书|语|教|读,hoc,3,学校很大。,Trường học rất lớn.,,,,,,,
班,bān,ban,1,ban,lớp học,,,纸|课|问|师,hoc,3,我们一班。,Chúng ta cùng lớp.,,,,,,,
教,jiāo,jiao,1,giáo,dạy,,,纸|句|词|语,hoc,3,老师教书。,Thầy giáo dạy học.,,,,,,,
兔,tù,tu,4,thố,thỏ,,,虫|牛|蛇|马,thu,1,兔子很可爱。,Con thỏ rất đáng yêu.,,,,,,,
